,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,shifting_rcp45,shifting_rcp85
44,"Pinellas County, FL, Site",PIN,FL,349.86529613572446,116.20794779504224,122.69706839425096,651.1488257707828,339.0436829485185,369.2280266462024,400.803150678359,443.9353545270614,502.57761260985984,550.5489295305485,215.39307992791606,91.72857209983897,49.293057250975856,493.332838832307,205.35643284388755,177.29397457319754,103.93455231740026,18.130979788643607,515.7706563895055,157.2661472429532,0.0,0.0
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,5848.140407529548,386.5726422670972,4898.742542768196,6750.474558846599,5862.677879311686,5952.544966910216,6061.942790723518,6174.19808227538,6317.846116507383,6421.242860630569,4918.302406144566,449.8348950123365,3771.3622446550557,6096.444706944047,4894.121199667785,4595.284585820337,672.5620544555525,3032.6032741873532,6076.037672816676,4592.629251382001,0.0,0.0
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,8209.863769131862,516.1256886469113,6925.199514901286,9415.154523576997,8209.98346394129,8340.279669538213,8465.773521466923,8622.751959141311,8866.364665374746,9011.744844687313,7091.830478452839,583.0078885583506,5516.160882524753,8610.651329214903,7055.557860957543,6682.313603379722,853.4180415983345,4686.271942574628,8591.90581590924,6690.248194471075,0.0,0.0
47,"Pre-Schooner II, ID, Site",PSC,ID,6308.770074042483,407.19499894649044,5314.837499215251,7260.46550816126,6310.678770490362,6418.70212193079,6527.408256923119,6629.922642691464,6812.7415875244005,6939.56287860324,5134.14440898944,522.344908332845,3925.563683994829,6478.7024771554015,5079.554012669145,4747.834374800095,780.2942249475333,3151.02390777587,6503.288911219994,4738.596979893266,0.0,0.0
48,"Rifle New, CO, Processing Site",RFN,CO,8356.499687338057,436.31216945815476,7131.667527204226,9286.940681326714,8380.578681073854,8486.182367422907,8601.386212877533,8711.311287972574,8877.091051265157,8996.217706331508,6971.72907730965,573.199925230166,5588.413541346948,8377.029485037654,6935.8802134922435,6459.4340617296275,963.9824014079965,4375.694151131758,8488.430747244685,6500.322298431383,0.0,0.0
49,"Rifle Old, CO, Processing Site",RFO,CO,8356.499687338057,436.31216945815476,7131.667527204226,9286.940681326714,8380.578681073854,8486.182367422907,8601.386212877533,8711.311287972574,8877.091051265157,8996.217706331508,6971.72907730965,573.199925230166,5588.413541346948,8377.029485037654,6935.8802134922435,6459.4340617296275,963.9824014079965,4375.694151131758,8488.430747244685,6500.322298431383,0.0,0.0
50,"Rifle, CO, Disposal Site",RFL,CO,8356.499687338057,436.31216945815476,7131.667527204226,9286.940681326714,8380.578681073854,8486.182367422907,8601.386212877533,8711.311287972574,8877.091051265157,8996.217706331508,6971.72907730965,573.199925230166,5588.413541346948,8377.029485037654,6935.8802134922435,6459.4340617296275,963.9824014079965,4375.694151131758,8488.430747244685,6500.322298431383,0.0,0.0
51,"Rio Blanco, CO, Site",RBL,CO,7579.081511671092,427.97587921354517,6391.903935634057,8481.7630416434,7604.2071783665115,7701.645613926465,7814.920791233594,7928.776475437694,8087.23832948956,8217.8584990583,6294.172438743645,556.3117475197636,4916.519246128617,7681.674082162026,6273.019453124989,5816.834223161125,914.3098236116755,3852.863722446978,7772.408244018541,5843.321026436931,0.0,0.0
52,"Riverton, WY, Processing Site",RVT,WY,7137.76730165597,393.15325666768496,6048.154380623942,7969.19615735734,7147.417403804221,7246.2273008945895,7343.5125022234115,7455.357310049861,7624.5817115783575,7753.868637542711,5983.7732445654065,528.4780972397436,4649.327617579858,7269.0177945818095,5958.011934574662,5556.979359515796,836.4543740293723,3759.171170697885,7372.0112798200225,5587.0622989763415,0.0,0.0
53,"Rocky Flats, CO, Site",RFS,CO,6081.246093642555,360.4124342553483,5119.4498435320065,6912.496574619827,6085.117243674129,6185.65806588308,6268.031883174339,6380.827665012893,6520.503883318209,6622.434417779092,5042.1641295469235,455.6034151054843,3937.743076128269,6192.126782967693,5016.270468793586,4662.4621733329695,742.2267791057386,3078.6960251290375,6303.519251403796,4686.389151698511,0.0,0.0
54,"Rulison, CO, Site",RUL,CO,8929.695347659817,444.0853449394502,7673.371242806558,9870.624512067508,8956.033155648352,9060.047641034791,9179.617439248204,9287.887245308997,9461.707286791105,9580.628461794156,7487.198598832168,590.5768248745832,6070.923792419422,8929.493451014912,7444.888631046826,6949.468448515534,1003.5949444249127,4762.603573739178,9047.286880493151,6995.940032740991,0.0,0.0
55,"Salmon, MS, Site",SAL,MS,1718.3479152959646,242.47314278534625,1124.294847237718,2293.896745431076,1712.227281973696,1778.616638139991,1845.761571524477,1916.7575014386794,2016.8565857805456,2101.8699284580707,1314.9690534877445,239.0229623236211,743.3561791992149,1959.7004457310202,1312.3549649483764,1184.2456408269304,319.6410133915551,502.85747087750815,1988.3703207833362,1175.5335460989768,0.0,0.0
56,"Salt Lake City, UT, Disposal Site",SLD,UT,5437.928649208681,386.0371374013637,4499.871254228855,6354.061747610897,5453.123254961275,5552.226215733108,5638.27663229805,5740.845425502221,5905.748421129488,6033.444357561373,4390.755169503555,466.6972870814137,3289.4792000470757,5646.251455383291,4356.151077924446,4050.0256669407904,703.5494919240749,2618.764791782917,5691.216576232899,4042.1462771606366,0.0,0.0
57,"Salt Lake City, UT, Processing Site",SLP,UT,5927.862872062204,404.1470524947182,4919.376894574837,6859.795490025099,5947.405617021821,6039.80512673513,6139.972380196695,6249.992481515055,6420.058534306106,6545.834636546531,4773.206904679051,502.9272120517537,3587.3519560895566,6082.7286100115,4727.055706460126,4395.116625011863,771.8660201332292,2830.343109130852,6149.106463317859,4383.864577549517,0.0,0.0
58,"Sherwood, WA, Disposal Site",SHE,WA,6111.121754895413,397.2848822799832,5192.025308619895,7048.310359104689,6106.985722678034,6202.846862574976,6309.10337548391,6460.651754106783,6626.078970554885,6736.189513233718,5077.160616961519,496.9000255777296,3861.473240356436,6386.182499738408,5043.554995247968,4729.732051979681,732.1954101034871,3146.0229151262474,6379.328893955763,4741.284995901915,0.0,0.0
59,"Shiprock, NM, Disposal Site",SHP,NM,4943.082077505918,351.65011878875396,4070.0592973109556,5721.498183244966,4945.263614174969,5043.378105468739,5133.103898991166,5238.184989493223,5376.6026493617355,5482.575745370038,3999.2351656932915,407.67911936715274,3006.049040527336,5057.006845179956,3976.6135652814514,3658.920899333539,670.39522443161,2217.767038922984,5194.82961630684,3669.076507219578,0.0,0.0
