,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_std,rcp45_max,rcp85_mean,rcp85_std,rcp85_max,hist_10yr_mean,hist_10yr_max,hist_10yr_std,mid_rcp45_mean,mid_rcp45_max,late_rcp45_mean,late_rcp45_max,mid_rcp85_mean,mid_rcp85_max,late_rcp85_mean,late_rcp85_max,recent_30yr_mean,recent_30yr_max,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
11,"Durango, CO, Disposal Site",DUD,CO,18.28,0.37,19.13,20.74,0.8,21.92,21.84,1.84,26.18,18.76,19.11,0.25,20.92,21.14,21.64,21.92,21.41,21.77,24.26,24.77,19.0,19.75,6.56,3,9.49,3,8.49,3,11.34,3,10.42,3,21.66,3
12,"Durango, CO, Processing Site",DUP,CO,15.42,0.4,16.76,17.87,0.81,19.65,18.95,1.82,22.43,15.89,16.24,0.25,18.04,18.26,18.77,19.05,18.53,18.89,21.38,21.91,16.15,16.88,6.15,3,8.87,3,8.53,3,11.42,3,10.48,3,21.81,3
13,"Edgemont, SD, Disposal Site",EDG,SD,17.84,0.34,18.54,20.13,0.78,22.03,21.12,1.68,24.15,18.24,18.54,0.22,20.35,20.53,20.88,21.21,20.79,21.11,23.51,24.15,18.46,19.24,6.79,3,9.74,3,9.6,3,12.0,3,11.6,3,23.93,3
14,"Falls City, TX, Disposal Site",FCT,TX,27.61,0.31,28.57,29.56,0.64,30.91,30.44,1.46,33.67,27.98,28.43,0.18,29.66,29.89,30.29,30.52,30.1,30.32,32.44,32.74,28.14,28.7,6.39,3,9.25,3,9.43,3,12.97,3,11.92,3,25.02,3
15,"Fernald Preserve, OH, Site",FER,OH,17.75,0.33,18.5,20.01,0.75,21.8,21.01,1.63,24.0,18.19,18.39,0.15,20.08,20.3,20.69,20.95,20.66,20.96,23.32,23.67,18.41,19.12,6.76,3,9.78,3,12.86,3,17.06,3,16.84,3,35.02,3
16,"Gasbuggy, NM, Site",GSB,NM,18.05,0.4,19.41,20.43,0.79,21.62,21.51,1.82,25.77,18.53,18.86,0.25,20.61,20.8,21.32,21.62,21.1,21.43,23.9,24.43,18.75,19.44,5.93,3,8.64,3,8.35,3,11.18,3,10.29,3,21.52,3
17,"George West, TX, Calibration Model",GWC,TX,28.22,0.29,29.05,30.13,0.61,31.1,31.01,1.43,34.13,28.6,29.05,0.18,30.23,30.45,30.87,31.1,30.68,30.89,32.98,33.28,28.75,29.29,6.65,3,9.7,3,9.19,3,12.79,3,11.75,3,24.73,3
18,"Gnome-Coach, NM, Site",GNO,NM,25.39,0.3,26.15,27.66,0.74,29.03,28.67,1.73,32.39,25.8,26.06,0.19,27.8,28.01,28.5,28.68,28.28,28.53,30.96,31.38,25.98,26.63,7.55,3,10.91,3,10.33,3,13.94,3,12.81,3,26.64,3
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,18.67,0.41,20.03,21.16,0.82,23.22,22.28,1.87,26.79,19.14,19.44,0.24,21.32,21.57,22.04,22.33,21.82,22.24,24.75,25.33,19.42,20.19,6.13,3,8.89,3,9.07,3,12.05,3,11.14,3,23.31,3
20,"Grand Junction, CO, Calibration Model",GJC,CO,18.66,0.38,19.47,21.15,0.8,22.35,22.28,1.87,26.79,19.14,19.44,0.24,21.32,21.57,22.04,22.33,21.82,22.24,24.75,25.33,19.4,20.19,6.62,3,9.62,3,9.07,3,12.05,3,11.14,3,23.31,3
21,"Grand Junction, CO, Disposal Site",GRJ,CO,17.94,0.4,19.29,20.4,0.8,21.58,21.51,1.84,24.99,18.4,18.71,0.24,20.57,20.82,21.29,21.58,21.07,21.47,23.97,24.54,18.68,19.45,6.14,3,8.9,3,9.06,3,12.08,3,11.14,3,23.27,3
22,"Grand Junction, CO, Processing Site",GJT,CO,18.66,0.38,19.47,21.15,0.8,22.35,22.28,1.87,26.79,19.14,19.44,0.24,21.32,21.57,22.04,22.33,21.82,22.24,24.75,25.33,19.4,20.19,6.62,3,9.62,3,9.07,3,12.05,3,11.14,3,23.31,3
23,"Grand Junction, CO, Site",GJO,CO,18.66,0.38,19.47,21.15,0.8,22.35,22.27,1.85,25.76,19.14,19.44,0.24,21.32,21.57,22.04,22.33,21.82,22.24,24.75,25.33,19.4,20.19,6.62,3,9.59,3,9.07,3,12.05,3,11.14,3,23.31,3
24,"Grants, NM, Calibration Model",GNC,NM,18.7,0.37,19.56,21.16,0.79,22.35,22.25,1.81,25.57,19.21,19.56,0.25,21.36,21.53,22.06,22.35,21.87,22.22,24.66,25.15,19.41,20.19,6.67,3,9.62,3,8.72,3,11.6,3,10.8,3,22.15,3
25,"Green River, UT, Disposal Site",GRN,UT,19.69,0.4,21.02,22.25,0.84,24.38,23.36,1.88,27.92,20.16,20.49,0.25,22.41,22.7,23.13,23.41,22.93,23.36,25.84,26.32,20.44,21.25,6.35,3,9.11,3,9.06,3,11.98,3,11.16,3,22.88,3
26,"Gunnison, CO, Disposal Site",GUD,CO,12.27,0.39,13.55,14.59,0.77,15.75,15.64,1.76,19.03,12.7,12.99,0.23,14.77,14.94,15.45,15.75,15.22,15.54,17.99,18.56,12.96,13.66,6.03,3,8.76,3,9.18,3,12.22,3,11.21,3,23.52,3
27,"Gunnison, CO, Processing Site",GUP,CO,12.26,0.36,13.06,14.59,0.77,15.75,15.64,1.76,19.03,12.7,12.99,0.23,14.77,14.94,15.45,15.75,15.22,15.54,17.99,18.56,12.94,13.66,6.47,3,9.38,3,9.18,3,12.22,3,11.21,3,23.52,3
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,17.59,0.33,18.22,19.97,0.8,21.9,21.0,1.74,25.09,17.96,18.22,0.17,20.17,20.36,20.71,21.02,20.62,20.89,23.43,24.01,18.22,19.16,7.12,3,10.19,3,12.85,3,15.98,3,15.45,3,31.78,3
29,"L-Bar, NM, Disposal Site",BAR,NM,19.87,0.39,21.16,22.32,0.8,23.94,23.4,1.83,27.48,20.36,20.71,0.24,22.5,22.67,23.21,23.5,23.01,23.36,25.8,26.28,20.58,21.34,6.26,3,9.02,3,8.85,3,11.77,3,10.92,3,22.48,3
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,23.88,0.28,24.72,25.8,0.66,27.33,26.6,1.39,29.73,24.24,24.51,0.18,25.9,26.14,26.41,26.58,26.37,26.77,28.51,28.77,24.43,25.13,6.76,3,9.6,3,9.28,3,12.16,3,11.92,3,23.89,3
31,"Lakeview, OR, Disposal Site",LKD,OR,15.73,0.33,16.47,18.01,0.76,19.16,18.95,1.6,21.82,16.16,16.47,0.2,18.13,18.47,18.76,19.02,18.62,19.09,21.2,21.54,16.4,17.22,6.99,3,9.88,3,9.75,3,12.9,3,12.21,3,25.05,3
32,"Lakeview, OR, Processing Site",LKP,OR,16.64,0.35,17.73,18.91,0.78,20.78,19.85,1.6,22.71,17.06,17.38,0.21,19.03,19.37,19.65,19.91,19.52,19.99,22.1,22.43,17.31,18.13,6.5,3,9.16,3,9.56,3,12.61,3,11.97,3,24.52,3
33,"Lowman, ID, Disposal Site",LOW,ID,12.86,0.33,13.67,15.3,0.82,17.35,16.33,1.75,20.1,13.28,13.59,0.23,15.43,15.76,16.08,16.42,15.97,16.41,18.74,19.14,13.55,14.39,7.28,3,10.37,3,9.5,3,12.39,3,11.89,3,24.16,3
34,"Maxey Flats, KY, Disposal Site",MAX,KY,19.32,0.34,20.11,21.46,0.72,23.11,22.41,1.58,26.16,19.78,20.01,0.16,21.54,21.81,22.1,22.35,22.05,22.35,24.6,24.96,19.95,20.64,6.25,3,9.04,3,10.83,3,14.28,3,13.98,3,29.63,3
35,"Maybell West, CO, Disposal Site",MAW,CO,15.14,0.37,15.96,17.56,0.79,18.74,18.67,1.84,23.0,15.6,15.89,0.25,17.74,17.99,18.42,18.72,18.21,18.61,21.13,21.72,15.85,16.65,6.52,3,9.5,3,8.69,3,11.46,3,10.57,3,22.46,3
36,"Maybell, CO, Disposal Site",MAY,CO,14.41,0.37,15.22,16.81,0.8,18.82,17.9,1.82,22.19,14.86,15.14,0.24,16.99,17.23,17.66,17.96,17.45,17.84,20.35,20.93,15.11,15.91,6.52,3,9.47,3,8.7,3,11.46,3,10.57,3,22.44,3
37,"Mexican Hat, UT, Disposal Site",HAT,UT,20.96,0.39,22.24,23.46,0.82,25.39,24.54,1.81,27.95,21.44,21.81,0.26,23.63,23.89,24.36,24.63,24.16,24.5,26.97,27.44,21.7,22.45,6.36,3,9.09,3,8.5,3,11.35,3,10.56,3,21.46,3
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,16.43,0.37,17.26,18.95,0.8,20.13,20.05,1.83,23.52,16.91,17.26,0.25,19.12,19.39,19.86,20.13,19.65,20.03,22.52,23.02,17.17,17.97,6.79,3,9.76,3,8.74,3,11.66,3,10.81,3,22.14,3
39,"Monument Valley, AZ, Processing Site",MON,AZ,20.17,0.39,21.43,22.66,0.81,24.55,23.75,1.83,28.12,20.64,21.03,0.26,22.83,23.09,23.56,23.83,23.36,23.69,26.16,26.62,20.9,21.65,6.37,3,9.14,3,8.49,3,11.34,3,10.55,3,21.45,3
40,"Mound, OH, Site",MND,OH,17.32,0.33,18.06,19.59,0.75,21.39,20.61,1.66,24.52,17.77,17.96,0.14,19.65,19.87,20.28,20.53,20.25,20.56,22.93,23.27,17.99,18.68,6.82,3,9.9,3,13.2,3,17.56,3,17.37,3,36.07,3
41,"Naturita, CO, Disposal Site",NAD,CO,18.38,0.4,19.72,20.88,0.82,22.87,21.98,1.84,25.47,18.84,19.17,0.25,21.04,21.3,21.78,22.05,21.56,21.96,24.45,25.0,19.12,19.91,6.22,3,8.95,3,8.9,3,11.86,3,10.97,3,22.66,3
42,"Naturita, CO, Processing Site",NAP,CO,17.89,0.37,18.7,20.39,0.82,22.33,21.49,1.86,25.98,18.36,18.7,0.25,20.55,20.79,21.29,21.56,21.06,21.45,23.94,24.48,18.62,19.42,6.72,3,9.69,3,8.78,3,11.75,3,10.84,3,22.42,3
43,"Parkersburg, WV, Disposal Site",PKB,WV,18.4,0.37,19.62,20.57,0.71,21.65,21.55,1.59,25.29,18.87,19.06,0.16,20.65,20.94,21.24,21.44,21.19,21.51,23.76,24.09,19.07,19.76,5.9,3,8.55,3,11.25,3,14.91,3,14.65,3,30.77,3
44,"Pinellas County, FL, Site",PIN,FL,28.13,0.33,28.88,29.64,0.49,30.34,30.34,1.15,33.03,28.64,28.84,0.13,29.66,29.73,30.15,30.28,30.08,30.22,31.93,32.23,28.64,29.08,4.59,3,6.73,3,7.75,3,11.5,3,10.96,3,25.08,3
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,16.32,0.33,17.03,18.6,0.74,19.77,19.65,1.68,23.59,16.76,16.95,0.14,18.67,18.88,19.31,19.54,19.29,19.6,21.99,22.34,16.99,17.67,6.9,3,10.08,3,14.05,3,18.73,3,18.59,3,38.48,3
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,13.2,0.38,14.5,15.54,0.8,17.01,16.53,1.73,20.55,13.58,13.91,0.21,15.71,15.98,16.31,16.67,16.15,16.55,18.9,19.43,13.82,14.53,6.16,3,8.75,3,10.13,3,12.96,3,12.18,3,25.22,3
47,"Pre-Schooner II, ID, Site",PSC,ID,16.84,0.38,18.05,19.36,0.84,21.42,20.39,1.76,24.33,17.29,17.61,0.23,19.5,19.77,20.16,20.48,20.02,20.53,22.78,23.16,17.58,18.43,6.56,3,9.24,3,9.52,3,12.41,3,11.8,3,23.73,3
48,"Rifle New, CO, Processing Site",RFN,CO,14.22,0.37,15.02,16.63,0.79,17.81,17.72,1.82,21.12,14.67,14.96,0.23,16.8,17.04,17.5,17.79,17.28,17.67,20.17,20.75,14.92,15.71,6.59,3,9.58,3,9.06,3,12.05,3,11.12,3,23.47,3
49,"Rifle Old, CO, Processing Site",RFO,CO,14.22,0.37,15.02,16.63,0.79,17.81,17.72,1.82,21.12,14.67,14.96,0.23,16.8,17.04,17.5,17.79,17.28,17.67,20.17,20.75,14.92,15.71,6.59,3,9.58,3,9.06,3,12.05,3,11.12,3,23.47,3
50,"Rifle, CO, Disposal Site",RFL,CO,14.22,0.37,15.02,16.63,0.79,17.81,17.72,1.82,21.12,14.67,14.96,0.23,16.8,17.04,17.5,17.79,17.28,17.67,20.17,20.75,14.92,15.71,6.59,3,9.58,3,9.06,3,12.05,3,11.12,3,23.47,3
51,"Rio Blanco, CO, Site",RBL,CO,15.16,0.37,15.98,17.62,0.8,18.83,18.75,1.87,23.16,15.63,15.91,0.24,17.79,18.04,18.5,18.79,18.27,18.7,21.24,21.83,15.88,16.68,6.62,3,9.66,3,9.0,3,11.94,3,11.01,3,23.34,3
52,"Riverton, WY, Processing Site",RVT,WY,15.41,0.36,16.63,17.73,0.79,19.74,18.8,1.76,21.92,15.79,16.05,0.23,17.88,18.08,18.54,18.87,18.36,18.76,21.25,21.76,16.08,16.94,6.4,3,9.35,3,8.96,3,11.79,3,11.03,3,23.44,3
53,"Rocky Flats, CO, Site",RFS,CO,17.49,0.34,18.29,19.76,0.75,20.87,20.8,1.72,24.77,17.91,18.17,0.22,19.98,20.17,20.57,20.83,20.44,20.69,23.12,23.69,18.14,18.89,6.59,3,9.61,3,9.44,3,12.14,3,11.52,3,23.73,3
54,"Rulison, CO, Site",RUL,CO,13.36,0.39,14.65,15.77,0.79,16.94,16.87,1.84,21.23,13.81,14.1,0.23,15.94,16.17,16.64,16.93,16.42,16.8,19.31,19.88,14.08,14.84,6.13,3,8.93,3,9.08,3,12.09,3,11.15,3,23.48,3
55,"Salmon, MS, Site",SAL,MS,25.6,0.33,26.35,27.42,0.62,28.82,28.22,1.36,30.97,26.09,26.35,0.15,27.45,27.71,28.05,28.4,27.91,28.14,30.08,30.34,26.15,26.66,5.54,3,7.99,3,8.85,3,12.74,3,11.85,3,25.99,3
56,"Salt Lake City, UT, Disposal Site",SLD,UT,18.48,0.37,19.36,21.04,0.84,23.13,22.1,1.81,26.36,18.96,19.28,0.24,21.2,21.45,21.89,22.18,21.73,22.17,24.53,24.93,19.22,20.09,6.96,3,9.84,3,9.23,3,12.07,3,11.41,3,22.98,3
57,"Salt Lake City, UT, Processing Site",SLP,UT,17.06,0.37,17.95,19.65,0.84,21.67,20.73,1.84,25.0,17.54,17.85,0.25,19.82,20.07,20.51,20.82,20.33,20.77,23.21,23.65,17.81,18.67,6.95,3,9.86,3,9.21,3,12.03,3,11.3,3,23.0,3
58,"Sherwood, WA, Disposal Site",SHE,WA,15.8,0.3,16.57,18.02,0.75,19.26,18.95,1.59,21.87,16.16,16.57,0.22,18.14,18.47,18.74,19.06,18.6,19.11,21.22,21.52,16.43,17.18,7.36,3,10.45,3,8.89,3,11.57,3,10.93,3,22.74,3
59,"Shiprock, NM, Disposal Site",SHP,NM,20.93,0.37,21.8,23.41,0.8,24.59,24.51,1.82,27.95,21.42,21.8,0.26,23.6,23.82,24.33,24.59,24.11,24.46,26.95,27.45,21.66,22.41,6.68,3,9.63,3,8.42,3,11.23,3,10.4,3,21.36,3
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,13.2,0.37,14.35,15.48,0.77,17.34,16.55,1.77,20.53,13.6,13.92,0.24,15.67,15.86,16.27,16.61,16.12,16.45,18.98,19.53,13.86,14.68,6.21,3,9.13,3,8.7,3,11.24,3,10.58,3,22.64,3
61,"Shoal, NV, Site",SHL,NV,21.41,0.37,22.29,23.85,0.8,24.94,24.87,1.74,28.78,21.91,22.29,0.26,23.98,24.24,24.69,24.93,24.55,25.09,27.2,27.49,22.12,22.99,6.68,3,9.46,3,7.97,3,10.72,3,10.16,3,20.37,3
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,15.29,0.35,16.5,17.73,0.81,19.69,18.77,1.74,22.74,15.7,15.9,0.14,17.83,18.0,18.47,18.69,18.39,18.71,21.16,21.57,15.99,16.69,6.92,3,9.86,3,15.25,3,19.79,3,19.26,3,39.1,3
63,"Slick Rock East, CO, Processing Site",SRE,CO,18.29,0.37,19.11,20.81,0.82,22.77,21.9,1.84,25.39,18.77,19.11,0.25,20.97,21.22,21.7,21.98,21.48,21.88,24.37,24.9,19.03,19.83,6.74,3,9.68,3,8.8,3,11.75,3,10.86,3,22.4,3
64,"Slick Rock West, CO, Processing Site",SRW,CO,18.29,0.37,19.11,20.81,0.82,22.77,21.91,1.86,26.37,18.77,19.11,0.25,20.97,21.22,21.7,21.98,21.48,21.88,24.37,24.9,19.03,19.83,6.74,3,9.71,3,8.8,3,11.75,3,10.86,3,22.4,3
65,"Slick Rock, CO, Disposal Site",SRD,CO,18.3,0.4,19.65,20.81,0.82,22.77,21.9,1.84,25.39,18.77,19.11,0.25,20.97,21.22,21.7,21.98,21.48,21.88,24.37,24.9,19.05,19.83,6.24,3,8.97,3,8.8,3,11.75,3,10.86,3,22.4,3
66,"Spook, WY, Disposal Site",SPK,WY,15.52,0.34,16.25,17.81,0.78,19.73,18.87,1.74,21.93,15.92,16.25,0.24,18.0,18.16,18.58,18.91,18.46,18.78,21.32,21.91,16.16,17.01,6.73,3,9.84,3,8.74,3,11.15,3,10.67,3,22.67,3
67,"Tonopah Test Range, NV, Site",TTR,NV,23.16,0.36,23.99,25.6,0.78,26.69,26.63,1.73,30.59,23.64,23.99,0.23,25.74,25.99,26.45,26.69,26.31,26.78,28.97,29.27,23.86,24.73,6.83,3,9.71,3,9.18,3,12.32,3,11.68,3,23.33,3
68,"Tuba City, AZ, Disposal Site",TUB,AZ,20.32,0.35,21.18,22.76,0.8,23.94,23.84,1.81,28.09,20.79,21.18,0.25,22.93,23.18,23.67,23.94,23.47,23.79,26.23,26.63,21.01,21.77,6.99,3,10.06,3,8.7,3,11.72,3,10.89,3,22.13,3
69,"Utah, UT, Site",UTA,UT,16.29,0.38,17.13,18.86,0.84,21.06,19.99,1.89,23.52,16.77,17.11,0.25,19.03,19.31,19.74,20.03,19.53,20.0,22.55,23.12,17.04,17.86,6.78,3,9.74,3,9.05,3,11.9,3,11.04,3,23.18,3
70,"Weldon Spring, MO, Site",WEL,MO,19.18,0.35,20.45,21.49,0.76,22.72,22.53,1.69,26.45,19.56,19.79,0.16,21.66,21.92,22.19,22.43,22.15,22.42,24.82,25.25,19.83,20.64,6.56,3,9.5,3,12.89,3,16.14,3,15.88,3,32.27,3
