,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,recent_mean,recent_max,recent_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
10,"Colonie, NY, Site",CLN,NY,41.39,89.61,38.92,44.6,63.35,43.28,68.73,39.98,46.82,63.55,44.52,93.92,42.18,43.83,63.83,41.81,46.04,65.48,44.45,50.81,113.12,47.6,51.01,76.69,48.4,54.65,89.76,49.6,44.55,88.11,41.13,1,2,1,1,2,2
11,"Durango, CO, Disposal Site",DUD,CO,31.18,74.48,28.52,35.07,54.7,30.43,51.36,28.46,34.07,47.58,33.37,82.33,30.49,34.43,60.38,32.32,34.65,57.17,33.04,34.2,84.25,31.45,33.32,59.3,30.35,37.81,67.85,33.94,31.08,65.5,28.78,1,1,1,1,1,1
12,"Durango, CO, Processing Site",DUP,CO,37.86,87.41,34.74,42.53,64.95,37.41,61.1,34.52,42.11,57.11,40.59,101.95,37.69,41.34,70.55,38.97,42.04,70.05,40.75,41.76,98.89,38.59,40.62,70.77,37.47,46.15,80.57,41.83,37.94,76.63,35.7,1,1,1,1,1,1
13,"Edgemont, SD, Disposal Site",EDG,SD,28.78,68.41,26.11,32.42,49.41,28.82,48.25,26.47,32.52,44.75,30.09,71.93,27.69,29.46,50.17,27.62,30.59,52.34,27.59,30.52,74.82,28.11,30.55,50.17,29.3,31.69,51.18,30.11,29.08,61.38,26.37,1,1,1,1,1,1
14,"Falls City, TX, Disposal Site",FCT,TX,60.81,148.31,55.45,68.9,109.31,58.67,108.46,54.87,66.66,96.57,64.33,166.41,58.07,63.63,118.86,58.04,66.63,117.79,61.77,65.98,193.19,58.07,64.15,123.36,57.23,65.83,123.55,59.48,61.58,148.73,54.67,1,1,1,1,1,1
15,"Fernald Preserve, OH, Site",FER,OH,47.56,93.29,44.88,52.53,72.99,48.63,72.4,46.74,53.55,68.54,52.1,101.53,49.74,51.81,74.52,50.44,53.22,80.18,50.46,57.59,114.47,55.66,56.91,85.59,55.04,62.65,91.82,62.02,49.66,91.21,47.14,1,2,1,1,2,2
16,"Gasbuggy, NM, Site",GSB,NM,29.94,68.35,27.95,33.53,49.87,30.38,54.3,28.14,33.19,49.36,31.68,73.31,29.44,32.95,52.59,31.92,31.83,50.85,29.92,31.52,75.73,29.64,30.49,51.79,28.21,34.58,62.12,31.71,29.91,62.91,28.13,1,1,1,1,1,1
17,"George West, TX, Calibration Model",GWC,TX,60.51,153.84,54.47,69.15,110.55,57.97,103.08,54.83,66.25,93.24,63.76,177.24,57.47,62.09,110.88,56.83,65.54,118.42,60.03,65.7,202.91,58.49,63.07,126.53,54.36,65.67,127.35,59.18,60.04,138.18,54.28,1,1,1,1,0,1
18,"Gnome-Coach, NM, Site",GNO,NM,37.59,115.49,32.43,42.18,75.7,40.47,89.02,36.03,45.61,77.04,37.02,137.69,32.27,38.93,94.0,31.55,38.31,74.66,33.54,37.83,131.0,32.85,36.32,73.95,32.52,38.33,74.63,32.95,38.84,107.0,32.72,0,1,0,0,0,0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,23.82,57.24,21.86,26.73,41.44,24.16,43.92,22.93,25.85,38.6,25.65,63.63,23.86,25.63,43.33,24.25,26.73,43.15,25.42,26.85,71.22,24.5,26.37,43.66,24.96,29.82,52.29,27.63,24.59,55.96,22.7,1,1,1,1,1,2
20,"Grand Junction, CO, Calibration Model",GJC,CO,23.82,57.24,21.86,26.73,41.44,24.16,43.92,22.93,25.85,38.6,25.65,63.63,23.86,25.63,43.33,24.25,26.73,43.15,25.42,26.85,71.22,24.5,26.37,43.66,24.96,29.82,52.29,27.63,24.59,55.96,22.7,1,1,1,1,1,2
21,"Grand Junction, CO, Disposal Site",GRJ,CO,25.27,62.33,22.82,28.34,44.56,25.71,42.38,24.64,29.24,39.01,26.31,64.08,24.47,27.22,48.62,24.91,26.82,43.28,24.86,27.65,71.96,25.25,25.86,42.38,24.89,30.36,51.42,27.5,25.8,56.24,23.73,1,1,1,1,1,1
22,"Grand Junction, CO, Processing Site",GJT,CO,23.82,57.24,21.86,26.73,41.44,24.16,43.92,22.93,25.85,38.6,25.65,63.63,23.86,25.63,43.33,24.25,26.73,43.15,25.42,26.85,71.22,24.5,26.37,43.66,24.96,29.82,52.29,27.63,24.59,55.96,22.7,1,1,1,1,1,2
23,"Grand Junction, CO, Site",GJO,CO,23.82,57.24,21.86,26.73,41.44,24.16,43.92,22.93,25.85,38.6,25.65,63.63,23.86,25.63,43.33,24.25,26.73,43.15,25.42,26.85,71.22,24.5,26.37,43.66,24.96,29.82,52.29,27.63,24.59,55.96,22.7,1,1,1,1,1,2
24,"Grants, NM, Calibration Model",GNC,NM,28.81,73.17,25.81,32.36,53.23,28.68,50.23,26.41,31.96,46.92,30.35,83.21,28.17,30.4,53.48,28.59,31.37,54.17,29.83,29.45,71.09,27.3,28.59,49.71,26.64,32.31,53.83,30.48,28.56,61.27,26.29,1,1,1,1,1,1
25,"Green River, UT, Disposal Site",GRN,UT,16.09,52.33,14.24,17.62,29.86,16.97,35.4,14.94,18.57,30.75,16.8,51.52,15.18,16.15,28.6,14.42,17.25,30.36,15.79,16.94,49.04,15.38,17.13,32.07,15.1,17.76,29.21,16.4,15.98,43.39,14.26,1,1,0,1,1,1
26,"Gunnison, CO, Disposal Site",GUD,CO,36.81,90.08,33.63,40.85,63.65,36.86,63.26,34.25,40.31,57.45,39.04,94.01,36.15,38.05,60.72,35.12,39.39,67.89,36.59,40.85,111.07,37.18,40.63,67.17,37.06,43.55,71.66,41.16,37.55,87.79,34.25,1,1,1,1,1,2
27,"Gunnison, CO, Processing Site",GUP,CO,36.81,90.08,33.63,40.85,63.65,36.86,63.26,34.25,40.31,57.45,39.04,94.01,36.15,38.05,60.72,35.12,39.39,67.89,36.59,40.85,111.07,37.18,40.63,67.17,37.06,43.55,71.66,41.16,37.55,87.79,34.25,1,1,1,1,1,2
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,48.81,112.33,44.98,54.58,81.92,48.26,81.65,44.95,51.46,74.66,50.06,114.94,46.4,48.82,79.33,47.29,49.54,76.9,47.21,53.8,169.08,49.05,53.35,87.9,51.43,55.06,103.18,50.36,51.16,124.46,45.99,1,1,1,1,1,1
29,"L-Bar, NM, Disposal Site",BAR,NM,29.9,73.33,26.95,33.36,52.41,29.62,51.45,27.61,33.31,47.2,31.56,79.87,29.02,31.81,60.05,29.39,32.04,54.67,29.73,30.6,75.02,28.44,29.98,51.16,28.18,33.18,53.43,31.56,29.9,63.47,27.25,1,1,1,1,1,1
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,63.72,166.94,56.77,72.19,122.29,65.44,111.17,61.91,75.6,103.82,67.61,176.35,62.13,68.73,125.56,63.02,68.95,118.23,65.35,82.29,317.98,71.0,79.25,147.05,75.05,81.34,152.2,74.21,74.25,254.92,60.92,1,1,1,1,1,1
31,"Lakeview, OR, Disposal Site",LKD,OR,26.23,59.65,24.65,29.26,42.27,26.4,42.62,24.82,29.33,39.46,27.71,62.03,26.67,28.78,45.83,27.32,26.95,42.09,26.12,28.94,68.54,27.31,29.24,46.47,28.26,30.51,47.29,29.34,26.98,57.26,25.0,1,1,1,1,1,2
32,"Lakeview, OR, Processing Site",LKP,OR,28.13,64.22,26.21,31.37,45.87,28.39,47.15,26.16,31.19,43.62,29.96,69.47,28.77,30.63,49.08,29.63,29.43,48.79,27.92,30.9,71.58,29.32,31.47,49.41,30.54,32.87,51.58,31.61,28.64,58.22,26.42,1,1,1,1,1,2
33,"Lowman, ID, Disposal Site",LOW,ID,34.1,75.56,31.61,38.51,57.15,36.04,56.69,34.53,41.52,52.8,37.22,78.08,35.33,37.89,59.02,35.77,38.38,56.39,37.5,39.47,82.34,37.58,38.94,57.44,38.69,43.3,66.42,42.17,35.07,67.46,32.81,1,1,1,1,1,2
34,"Maxey Flats, KY, Disposal Site",MAX,KY,56.07,115.1,52.88,61.79,86.93,57.14,85.64,56.51,61.77,80.54,60.26,121.82,57.68,59.61,89.12,57.24,63.01,94.99,61.62,66.9,139.4,62.92,68.94,114.93,65.41,72.09,105.97,69.37,60.06,120.08,56.03,1,2,1,1,2,2
35,"Maybell West, CO, Disposal Site",MAW,CO,21.93,50.9,20.11,24.53,37.15,22.13,36.66,20.42,25.1,34.34,23.68,55.69,22.1,22.98,39.07,21.73,24.81,43.31,22.84,24.42,57.48,22.88,23.26,37.35,22.19,26.92,45.78,25.09,21.8,43.41,20.59,1,1,1,1,1,1
36,"Maybell, CO, Disposal Site",MAY,CO,24.39,60.85,22.73,27.34,39.81,24.37,42.02,22.66,26.59,37.66,26.22,64.09,24.16,25.48,39.99,23.6,26.25,43.31,25.0,26.84,62.33,25.14,26.4,40.92,25.4,29.78,48.02,28.21,24.5,49.75,23.13,1,1,1,1,1,2
37,"Mexican Hat, UT, Disposal Site",HAT,UT,20.25,50.01,18.32,23.14,37.19,19.55,36.2,17.47,22.27,32.97,21.95,56.84,19.73,22.02,40.63,20.1,21.87,39.57,20.17,22.32,58.63,20.36,22.15,38.34,21.13,24.07,42.83,22.51,20.15,45.17,18.34,1,1,1,1,1,2
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,26.51,69.01,23.57,29.86,49.29,26.61,48.67,23.86,29.74,45.05,28.89,77.23,26.5,28.62,49.05,26.84,29.5,53.07,26.65,29.16,72.52,26.56,29.31,51.4,27.0,31.67,52.31,30.75,26.97,60.28,24.87,1,1,1,1,1,2
39,"Monument Valley, AZ, Processing Site",MON,AZ,22.13,55.21,19.72,25.12,40.98,21.34,37.92,20.33,24.03,34.98,23.69,65.02,21.4,23.78,40.89,21.89,25.12,44.99,23.66,24.16,68.65,21.49,22.49,41.46,20.12,25.64,47.19,23.72,22.54,51.87,20.39,1,1,1,1,0,1
40,"Mound, OH, Site",MND,OH,45.27,87.08,42.84,49.74,69.23,46.23,70.7,44.15,50.39,65.57,49.85,92.21,47.93,48.93,71.39,47.17,51.02,77.25,49.14,56.48,113.69,54.36,55.36,81.95,52.9,60.1,87.95,59.1,48.45,95.5,44.38,1,2,1,1,2,2
41,"Naturita, CO, Disposal Site",NAD,CO,27.32,72.81,24.91,30.0,49.39,27.33,47.13,24.71,30.01,44.12,28.28,71.81,26.07,28.96,51.96,26.88,28.99,46.83,27.6,29.76,77.39,27.47,29.12,49.63,27.19,33.49,54.61,31.38,27.46,64.99,24.68,1,1,1,1,1,2
42,"Naturita, CO, Processing Site",NAP,CO,30.36,82.0,27.17,33.64,55.25,30.98,53.96,27.65,34.36,50.66,31.27,80.42,28.93,31.99,56.64,30.26,32.16,52.38,29.99,33.06,84.95,30.23,32.04,54.77,30.44,37.73,61.57,34.83,30.69,75.08,27.8,1,1,1,1,1,2
43,"Parkersburg, WV, Disposal Site",PKB,WV,45.91,83.87,44.22,50.48,68.82,46.75,68.76,45.32,50.82,64.32,49.61,97.08,47.67,51.74,75.78,49.52,51.34,72.96,49.56,56.11,115.23,53.71,56.39,92.57,52.52,59.72,84.28,57.97,49.95,98.72,46.2,1,2,1,1,2,2
44,"Pinellas County, FL, Site",PIN,FL,76.19,251.18,66.81,82.84,136.87,76.64,153.51,65.81,85.04,135.22,77.97,232.84,70.58,78.48,136.73,73.1,79.06,132.99,71.98,87.7,261.62,78.36,84.13,146.05,80.34,85.78,153.94,78.77,79.19,207.7,69.88,1,1,1,1,1,1
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,45.29,89.02,42.18,49.33,71.92,45.49,69.49,42.33,49.47,65.3,48.54,93.81,46.17,48.28,71.91,46.65,51.83,78.84,49.39,54.18,117.97,51.25,52.62,80.56,49.8,57.38,84.21,54.52,48.16,94.19,43.63,1,2,1,1,2,2
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,25.0,62.47,22.56,27.86,44.96,24.93,43.91,23.01,28.43,40.55,25.82,71.83,23.64,25.13,44.42,23.62,26.72,47.48,24.52,26.29,75.62,23.86,25.65,45.05,23.61,26.94,47.21,24.63,25.84,60.3,23.53,1,1,1,1,1,1
47,"Pre-Schooner II, ID, Site",PSC,ID,20.21,48.7,18.4,22.56,34.59,19.86,33.12,18.52,21.61,30.57,22.55,56.31,20.81,23.01,36.76,21.5,22.58,35.51,21.56,23.83,57.03,21.91,23.38,39.54,21.62,26.38,45.04,24.45,20.52,43.88,18.76,1,1,1,1,2,2
48,"Rifle New, CO, Processing Site",RFN,CO,30.98,71.21,28.6,34.2,53.31,31.12,53.08,28.88,34.45,48.93,33.04,74.48,30.94,31.91,54.04,29.65,33.5,53.05,31.39,34.33,75.43,32.07,34.43,57.11,32.23,36.61,56.64,34.75,31.59,66.23,28.7,1,1,1,1,1,2
49,"Rifle Old, CO, Processing Site",RFO,CO,30.98,71.21,28.6,34.2,53.31,31.12,53.08,28.88,34.45,48.93,33.04,74.48,30.94,31.91,54.04,29.65,33.5,53.05,31.39,34.33,75.43,32.07,34.43,57.11,32.23,36.61,56.64,34.75,31.59,66.23,28.7,1,1,1,1,1,2
50,"Rifle, CO, Disposal Site",RFL,CO,30.98,71.21,28.6,34.2,53.31,31.12,53.08,28.88,34.45,48.93,33.04,74.48,30.94,31.91,54.04,29.65,33.5,53.05,31.39,34.33,75.43,32.07,34.43,57.11,32.23,36.61,56.64,34.75,31.59,66.23,28.7,1,1,1,1,1,2
51,"Rio Blanco, CO, Site",RBL,CO,24.38,60.63,22.81,27.36,40.39,24.79,43.38,23.53,27.02,38.85,26.65,64.84,24.64,26.09,42.47,25.1,27.12,43.07,25.68,28.05,75.61,25.99,27.11,43.04,26.31,31.47,55.21,29.98,25.05,52.22,23.48,1,1,1,1,1,2
52,"Riverton, WY, Processing Site",RVT,WY,19.67,46.37,18.2,21.86,32.81,19.95,33.03,18.9,22.4,30.23,21.41,53.24,19.8,21.96,39.43,19.92,21.5,34.72,19.96,21.63,54.3,19.96,21.72,35.44,20.12,22.76,36.77,21.34,19.92,40.41,18.43,1,1,1,1,1,1
53,"Rocky Flats, CO, Site",RFS,CO,29.37,68.48,26.89,33.0,51.12,29.98,53.61,27.49,33.43,49.2,31.38,78.62,28.95,30.37,53.11,28.76,30.87,54.77,28.52,31.72,88.29,28.59,33.17,65.45,29.29,32.0,53.38,29.66,30.16,65.54,27.39,1,1,1,1,1,1
54,"Rulison, CO, Site",RUL,CO,32.43,79.21,29.64,35.61,57.58,32.7,57.49,29.7,36.92,52.5,34.46,79.49,32.26,33.17,56.52,30.57,34.48,56.36,31.95,35.39,78.87,33.21,35.3,58.82,32.89,37.85,60.07,36.58,33.0,68.62,30.1,1,1,1,1,1,1
55,"Salmon, MS, Site",SAL,MS,83.16,176.54,78.22,92.19,136.74,84.61,138.72,80.79,93.52,128.29,87.85,202.69,82.7,87.22,132.83,82.72,97.19,168.33,89.39,100.79,256.51,91.93,102.71,190.24,93.83,106.54,206.89,91.21,91.06,188.41,82.57,1,1,1,1,2,1
56,"Salt Lake City, UT, Disposal Site",SLD,UT,20.12,47.97,18.28,22.35,35.16,20.66,35.84,18.63,23.41,32.88,22.07,56.91,20.16,22.26,37.38,21.22,22.98,39.46,20.99,22.76,58.72,20.91,23.15,40.63,20.4,25.77,46.68,23.82,20.27,44.54,18.16,1,1,1,1,1,2
57,"Salt Lake City, UT, Processing Site",SLP,UT,36.95,84.7,34.4,41.9,61.0,38.68,63.24,35.96,42.39,58.8,40.04,92.49,38.03,39.99,67.91,37.97,42.78,70.53,39.84,42.1,94.67,40.05,42.42,76.04,39.51,47.28,68.61,47.84,38.05,75.86,36.05,1,1,1,1,1,2
58,"Sherwood, WA, Disposal Site",SHE,WA,20.03,44.56,18.95,21.98,32.4,20.54,31.84,19.15,22.78,29.96,22.67,55.99,21.2,22.67,35.6,21.7,24.86,39.19,24.15,24.2,55.55,22.88,24.36,40.29,23.45,26.02,41.25,24.6,21.19,43.02,19.72,1,2,1,2,2,2
59,"Shiprock, NM, Disposal Site",SHP,NM,21.05,52.79,19.06,23.56,37.21,20.59,36.45,19.59,23.77,32.92,22.29,54.68,20.6,22.54,39.76,20.76,24.13,41.6,22.67,22.69,58.39,20.51,22.4,40.07,20.27,23.43,41.68,21.68,20.9,46.85,19.32,1,1,1,1,1,1
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,22.18,53.35,20.35,24.87,37.93,22.86,38.66,21.68,25.58,35.29,23.01,58.7,21.45,23.43,40.09,21.5,23.57,41.82,22.2,23.53,59.51,21.58,23.74,39.01,22.56,23.73,38.5,22.29,21.96,44.87,20.4,1,1,0,1,1,1
61,"Shoal, NV, Site",SHL,NV,15.84,39.54,14.35,18.17,28.79,15.94,29.72,14.87,17.74,26.93,16.82,48.19,15.03,17.79,35.84,16.07,17.28,29.72,16.22,17.0,47.59,15.38,16.77,29.49,15.83,18.79,34.1,17.66,15.93,37.21,14.58,1,1,1,1,1,1
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,49.0,111.73,45.68,53.53,78.54,47.15,73.29,44.79,52.41,68.14,52.49,122.62,49.26,49.49,75.48,46.89,53.65,82.74,51.37,58.09,132.15,54.37,54.0,85.42,51.74,61.06,92.87,59.7,52.34,101.17,47.21,1,2,1,1,1,2
63,"Slick Rock East, CO, Processing Site",SRE,CO,28.49,77.58,25.7,31.6,52.27,28.96,51.36,25.54,31.54,48.17,29.68,78.33,27.11,30.46,56.21,28.6,30.36,49.98,28.57,31.21,81.37,28.67,30.68,53.5,29.38,35.27,58.58,32.99,28.78,70.41,25.86,1,1,1,1,1,2
64,"Slick Rock West, CO, Processing Site",SRW,CO,28.49,77.58,25.7,31.6,52.27,28.96,51.36,25.54,31.54,48.17,29.68,78.33,27.11,30.46,56.21,28.6,30.36,49.98,28.57,31.21,81.37,28.67,30.68,53.5,29.38,35.27,58.58,32.99,28.78,70.41,25.86,1,1,1,1,1,2
65,"Slick Rock, CO, Disposal Site",SRD,CO,28.49,77.58,25.7,31.6,52.27,28.96,51.36,25.54,31.54,48.17,29.68,78.33,27.11,30.46,56.21,28.6,30.36,49.98,28.57,31.21,81.37,28.67,30.68,53.5,29.38,35.27,58.58,32.99,28.78,70.41,25.86,1,1,1,1,1,2
66,"Spook, WY, Disposal Site",SPK,WY,24.97,57.69,22.9,27.89,42.41,25.24,44.08,23.1,27.95,39.84,26.39,63.61,24.29,27.53,51.22,24.62,27.33,43.96,26.31,27.13,64.47,25.12,27.47,46.06,25.55,28.25,45.29,26.02,25.33,52.39,23.8,1,1,1,1,1,1
67,"Tonopah Test Range, NV, Site",TTR,NV,17.49,58.71,15.5,19.7,32.95,18.24,38.22,15.95,20.44,33.68,19.15,63.91,16.97,19.34,40.45,17.61,18.62,35.3,16.62,19.56,64.91,17.32,18.39,35.16,16.48,21.62,39.52,18.87,18.41,50.06,16.49,1,1,1,1,1,1
68,"Tuba City, AZ, Disposal Site",TUB,AZ,25.09,63.7,22.7,28.39,46.8,25.08,45.24,22.65,28.48,41.6,26.9,74.24,24.5,26.63,48.2,24.68,27.13,48.91,24.71,27.39,75.9,24.92,25.56,41.85,23.73,29.78,56.79,27.12,25.26,53.96,23.2,1,1,1,1,1,1
69,"Utah, UT, Site",UTA,UT,16.15,37.84,14.85,18.04,27.98,16.32,28.26,15.31,18.19,25.81,17.12,40.39,15.8,16.7,28.85,15.39,17.97,30.58,17.0,17.79,42.66,16.41,17.53,28.91,16.21,19.41,33.57,18.2,16.25,33.6,14.99,1,1,1,1,1,2
70,"Weldon Spring, MO, Site",WEL,MO,48.16,105.3,44.85,52.13,77.31,51.38,81.74,48.71,55.29,74.98,51.58,111.21,48.3,51.75,82.14,49.79,54.1,84.41,52.06,55.7,141.71,52.3,56.1,91.11,52.91,60.57,94.01,59.04,51.73,121.89,47.07,1,2,1,1,1,2
