,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
56,"Salt Lake City, UT, Disposal Site",SLD,UT,1.2,4.67,1.05,1.57,3.21,1.29,3.52,1.0,1.5,3.09,1.64,6.05,1.4,1.65,3.86,1.48,1.75,3.81,1.76,1.79,7.1,1.43,1.78,4.48,1.67,2.33,4.95,2.05,1,1,1,2,2,2
57,"Salt Lake City, UT, Processing Site",SLP,UT,1.36,5.14,1.14,1.76,3.55,1.5,3.71,1.24,1.84,3.33,1.94,6.9,1.71,1.89,4.29,1.76,2.07,4.57,1.9,2.2,7.67,1.86,2.04,4.71,1.81,2.99,6.33,2.81,1,2,1,2,1,2
58,"Sherwood, WA, Disposal Site",SHE,WA,1.27,5.0,1.0,1.69,3.36,1.41,3.43,1.33,1.73,3.09,1.81,6.19,1.62,1.95,3.95,1.71,2.2,4.67,1.86,2.13,7.43,1.9,1.95,4.19,1.76,2.82,5.86,2.71,1,2,1,2,2,2
59,"Shiprock, NM, Disposal Site",SHP,NM,0.84,3.76,0.52,1.14,2.63,0.87,2.38,0.81,1.15,2.13,1.06,4.62,0.83,1.04,2.95,0.76,1.16,3.14,0.95,1.1,4.81,0.81,1.05,2.86,0.9,1.26,3.24,1.0,1,1,0,1,1,1
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,0.62,3.19,0.48,0.71,1.83,0.69,2.05,0.52,1.02,1.8,0.72,3.9,0.6,0.72,2.14,0.62,0.82,2.29,0.62,0.77,3.9,0.62,0.86,2.43,0.67,0.83,2.57,0.57,1,1,1,1,1,1
61,"Shoal, NV, Site",SHL,NV,0.43,2.24,0.07,0.67,1.57,0.46,1.67,0.19,0.56,1.44,0.5,3.24,0.19,0.58,2.14,0.24,0.58,1.81,0.43,0.56,3.52,0.33,0.54,1.81,0.43,0.79,2.43,0.62,1,1,1,1,1,2
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,1.49,4.52,1.21,2.07,3.58,1.45,3.76,1.29,1.83,3.27,1.87,5.86,1.67,1.65,3.71,1.38,1.99,4.0,1.9,2.18,6.71,1.88,1.99,4.24,1.86,2.69,5.38,2.52,1,1,1,2,2,2
63,"Slick Rock East, CO, Processing Site",SRE,CO,0.83,3.76,0.62,1.19,2.44,0.93,2.48,0.76,1.35,2.23,1.04,4.9,0.71,1.16,3.43,0.86,1.02,2.57,0.86,1.12,4.62,0.83,1.06,3.0,0.76,1.46,3.52,1.48,1,1,1,1,0,2
64,"Slick Rock West, CO, Processing Site",SRW,CO,0.83,3.76,0.62,1.19,2.44,0.93,2.48,0.76,1.35,2.23,1.04,4.9,0.71,1.16,3.43,0.86,1.02,2.57,0.86,1.12,4.62,0.83,1.06,3.0,0.76,1.46,3.52,1.48,1,1,1,1,0,2
65,"Slick Rock, CO, Disposal Site",SRD,CO,0.83,3.76,0.62,1.19,2.44,0.93,2.48,0.76,1.35,2.23,1.04,4.9,0.71,1.16,3.43,0.86,1.02,2.57,0.86,1.12,4.62,0.83,1.06,3.0,0.76,1.46,3.52,1.48,1,1,1,1,0,2
66,"Spook, WY, Disposal Site",SPK,WY,1.02,4.1,0.64,1.43,3.13,1.06,2.86,0.81,1.46,2.5,1.19,5.29,0.9,1.21,3.24,1.05,1.32,3.52,1.05,1.28,5.38,1.07,1.28,3.14,1.1,1.48,3.95,1.19,1,1,1,1,1,1
67,"Tonopah Test Range, NV, Site",TTR,NV,0.65,3.29,0.4,0.95,2.15,0.69,2.14,0.43,1.0,1.86,0.86,4.33,0.57,0.89,2.95,0.57,0.91,2.76,0.62,0.97,4.71,0.71,0.9,2.9,0.62,1.31,3.48,1.05,1,1,1,1,1,2
68,"Tuba City, AZ, Disposal Site",TUB,AZ,0.78,3.62,0.55,1.12,2.56,0.75,2.38,0.38,1.03,2.08,1.0,4.67,0.74,0.98,3.19,0.62,0.97,2.76,0.76,1.04,4.86,0.71,0.98,2.81,0.81,1.28,3.38,1.1,1,1,1,1,1,2
69,"Utah, UT, Site",UTA,UT,1.01,3.95,0.76,1.55,2.76,0.99,2.52,0.76,1.3,2.33,1.29,5.43,1.02,1.31,3.48,1.24,1.3,3.57,1.14,1.43,5.52,1.19,1.35,3.71,1.29,1.76,4.24,1.48,1,1,1,1,1,2
70,"Weldon Spring, MO, Site",WEL,MO,1.44,4.9,1.24,1.93,3.67,1.67,3.9,1.52,2.12,3.43,1.75,6.38,1.62,1.6,3.81,1.33,1.89,4.14,1.71,1.97,6.71,1.76,2.05,4.67,1.9,2.46,5.48,2.24,1,1,0,1,1,2
