,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,rcp45_mean,rcp45_std,rcp45_min,rcp85_mean,rcp85_std,rcp85_min,hist_10yr_mean,hist_10yr_min,hist_10yr_std,mid_rcp45_mean,mid_rcp45_min,late_rcp45_mean,late_rcp45_min,mid_rcp85_mean,mid_rcp85_min,late_rcp85_mean,late_rcp85_min,recent_30yr_mean,recent_30yr_min,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,-0.01,0.28,-0.55,-0.34,0.28,-1.16,-0.58,0.37,-1.57,-0.12,-0.24,0.13,-0.19,-0.41,-0.35,-0.82,-0.55,-1.11,-0.97,-1.57,-0.08,-0.55,-1.2,2,-2.08,3,-0.52,1,-1.68,2,-3.14,3,-6.32,3
39,"Monument Valley, AZ, Processing Site",MON,AZ,-0.01,0.29,-0.53,-0.38,0.27,-1.13,-0.62,0.38,-1.59,-0.1,-0.32,0.17,-0.29,-0.38,-0.42,-0.96,-0.61,-1.05,-1.06,-1.59,-0.08,-0.53,-1.27,2,-2.1,3,-1.14,2,-1.92,2,-3.02,3,-5.65,3
40,"Mound, OH, Site",MND,OH,-0.0,0.25,-0.65,0.31,0.36,-0.56,0.25,0.37,-0.65,-0.06,-0.35,0.22,0.22,-0.18,0.39,0.1,0.06,-0.37,0.2,-0.6,-0.05,-0.65,1.26,0,1.02,0,1.29,0,2.08,0,0.58,0,1.22,0
41,"Naturita, CO, Disposal Site",NAD,CO,-0.0,0.27,-0.44,-0.32,0.29,-1.17,-0.56,0.39,-1.56,-0.16,-0.42,0.16,-0.11,-0.36,-0.33,-0.67,-0.52,-1.12,-0.98,-1.56,-0.06,-0.44,-1.16,2,-2.06,3,0.31,0,-1.0,1,-2.19,3,-4.96,3
42,"Naturita, CO, Processing Site",NAP,CO,-0.01,0.26,-0.44,-0.27,0.28,-1.12,-0.52,0.38,-1.51,-0.12,-0.32,0.16,-0.11,-0.35,-0.26,-0.59,-0.48,-1.1,-0.9,-1.51,-0.06,-0.44,-0.99,1,-1.93,2,0.09,0,-0.82,1,-2.19,3,-4.8,3
43,"Parkersburg, WV, Disposal Site",PKB,WV,-0.0,0.26,-0.75,0.22,0.36,-0.62,0.25,0.32,-0.75,0.03,-0.24,0.23,0.18,-0.28,0.3,-0.06,0.34,-0.01,0.05,-0.75,0.02,-0.75,0.86,0,0.96,0,0.63,0,1.18,0,1.34,0,0.09,0
44,"Pinellas County, FL, Site",PIN,FL,-0.01,0.32,-0.68,0.16,0.28,-0.62,0.01,0.32,-0.79,-0.09,-0.68,0.32,0.14,-0.46,0.31,-0.17,0.06,-0.48,-0.11,-0.79,-0.02,-0.68,0.53,0,0.05,0,0.72,0,1.23,0,0.45,0,-0.08,1
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,0.0,0.23,-0.48,0.33,0.35,-0.5,0.29,0.38,-0.73,-0.05,-0.44,0.23,0.24,-0.03,0.39,0.23,0.1,-0.35,0.28,-0.64,-0.06,-0.48,1.4,0,1.24,0,1.26,0,1.9,0,0.66,0,1.42,0
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,-0.01,0.3,-0.67,0.09,0.3,-0.51,-0.17,0.38,-1.44,-0.0,-0.38,0.26,0.11,-0.28,0.19,-0.18,-0.07,-0.31,-0.61,-1.44,-0.03,-0.67,0.32,0,-0.52,1,0.44,0,0.76,0,-0.26,1,-2.35,3
47,"Pre-Schooner II, ID, Site",PSC,ID,0.01,0.3,-0.8,-0.06,0.28,-0.62,-0.31,0.33,-1.19,-0.26,-0.8,0.2,-0.06,-0.38,0.27,-0.14,-0.22,-0.45,-0.61,-0.99,-0.01,-0.8,-0.22,1,-1.07,2,1.0,0,2.63,0,0.21,0,-1.72,2
