,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
36,"Maybell, CO, Disposal Site",MAY,CO,77.69,252.12,66.87,97.16,173.41,113.69,219.76,108.71,135.84,201.75,321.61,707.02,315.87,346.14,500.42,337.76,443.77,622.77,432.85,532.75,1409.38,467.67,430.17,599.37,430.6,979.86,1279.85,975.43,3,3,3,3,3,3
37,"Mexican Hat, UT, Disposal Site",HAT,UT,1076.54,1457.96,1071.93,1149.6,1338.34,1201.96,1422.62,1212.59,1272.96,1391.88,1713.62,2366.75,1730.09,1749.0,1997.34,1738.05,1951.0,2200.94,1949.9,2066.89,3373.03,2014.32,1930.36,2216.38,1933.17,2813.43,3182.45,2811.83,3,3,3,3,3,3
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,284.29,534.2,278.08,327.51,443.83,354.14,514.68,359.52,400.4,485.26,690.53,1173.69,694.46,713.99,896.9,706.5,859.71,1060.49,857.91,958.87,1980.64,907.24,844.83,1057.53,846.35,1514.03,1826.75,1511.45,3,3,3,3,3,3
39,"Monument Valley, AZ, Processing Site",MON,AZ,828.84,1172.52,823.59,896.03,1061.99,940.73,1147.32,952.15,1004.43,1114.19,1411.23,2021.65,1425.68,1445.41,1677.94,1433.51,1633.19,1872.08,1632.24,1744.48,2979.78,1692.11,1614.32,1881.06,1619.15,2445.58,2793.91,2447.79,3,3,3,3,3,3
40,"Mound, OH, Site",MND,OH,922.04,1273.5,909.78,993.81,1144.97,1021.41,1201.33,1024.1,1078.9,1173.36,1478.59,2042.35,1499.0,1525.35,1741.74,1526.5,1657.72,1919.44,1646.25,1820.62,3016.44,1753.51,1694.63,1953.5,1686.01,2556.32,2888.79,2551.83,3,3,3,3,3,3
41,"Naturita, CO, Disposal Site",NAD,CO,591.05,917.32,584.61,647.85,807.25,690.26,890.27,696.83,752.37,855.12,1110.83,1697.04,1114.23,1144.32,1368.01,1132.92,1319.2,1558.48,1319.08,1421.1,2609.23,1363.85,1293.01,1555.37,1292.04,2067.52,2443.56,2054.27,3,3,3,3,3,3
42,"Naturita, CO, Processing Site",NAP,CO,434.55,724.63,428.41,486.25,626.24,519.6,704.39,523.49,574.01,670.87,896.23,1441.84,900.89,925.09,1133.5,916.34,1087.52,1314.47,1088.11,1185.4,2304.5,1129.32,1063.62,1305.27,1059.88,1784.1,2140.3,1774.0,3,3,3,3,3,3
43,"Parkersburg, WV, Disposal Site",PKB,WV,834.05,1193.32,817.46,901.26,1064.01,938.71,1122.44,934.29,996.12,1094.04,1377.68,1934.24,1399.07,1423.38,1657.33,1430.64,1554.58,1807.05,1540.76,1699.89,2846.84,1638.83,1575.67,1828.07,1572.28,2414.51,2728.04,2403.29,3,3,3,3,3,3
44,"Pinellas County, FL, Site",PIN,FL,3558.48,4329.42,3542.46,3713.5,4078.72,3840.54,4213.51,3826.91,3959.14,4155.55,4430.47,5287.58,4446.66,4437.99,4826.87,4448.95,4724.6,5133.69,4701.48,4859.11,6445.82,4794.28,4701.99,5103.06,4679.52,5823.14,6195.0,5831.87,3,3,3,3,3,3
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,731.41,1059.01,720.35,794.38,940.02,821.18,991.75,824.84,870.89,967.17,1243.65,1782.21,1266.19,1289.78,1493.33,1290.17,1410.07,1659.04,1400.72,1570.19,2703.36,1507.48,1454.27,1702.78,1441.43,2264.06,2585.59,2256.07,3,3,3,3,3,3
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,427.21,776.77,415.12,484.38,649.79,496.32,704.59,477.25,544.8,663.08,849.65,1405.01,846.97,875.86,1136.27,866.01,1003.88,1279.82,1002.94,1108.83,2153.54,1047.01,1016.67,1327.08,1006.19,1716.24,2079.06,1720.23,3,3,3,3,3,3
