,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_std,rcp45_max,rcp85_mean,rcp85_std,rcp85_max,1990_2019_mean,1990_2019_std,1990_2019_max,shifting_rcp45,shifting_rcp85
36,"Maybell, CO, Disposal Site",MAY,CO,1.03,0.05,1.16,1.15,0.07,1.31,1.15,0.09,1.37,1.03,1.13,0.05,3.0,3.0
37,"Mexican Hat, UT, Disposal Site",HAT,UT,0.54,0.03,0.63,0.58,0.05,0.71,0.57,0.04,0.7,0.54,0.63,0.04,2.0,1.0
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,0.8,0.04,0.9,0.86,0.07,1.03,0.85,0.06,1.03,0.79,0.91,0.05,2.0,2.0
39,"Monument Valley, AZ, Processing Site",MON,AZ,0.59,0.03,0.69,0.62,0.05,0.74,0.61,0.04,0.74,0.59,0.71,0.04,2.0,1.0
40,"Mound, OH, Site",MND,OH,2.7,0.08,2.89,2.88,0.11,3.25,2.92,0.12,3.19,2.75,2.96,0.1,3.0,3.0
41,"Naturita, CO, Disposal Site",NAD,CO,0.89,0.04,1.0,0.95,0.07,1.12,0.94,0.07,1.11,0.88,0.98,0.05,2.0,2.0
42,"Naturita, CO, Processing Site",NAP,CO,0.99,0.05,1.1,1.05,0.07,1.24,1.04,0.07,1.22,0.98,1.09,0.06,2.0,2.0
43,"Parkersburg, WV, Disposal Site",PKB,WV,2.85,0.09,3.05,3.03,0.11,3.4,3.12,0.13,3.4,2.93,3.15,0.11,2.0,3.0
44,"Pinellas County, FL, Site",PIN,FL,3.61,0.13,3.92,3.78,0.17,4.25,3.83,0.17,4.28,3.67,4.08,0.19,2.0,2.0
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,2.62,0.07,2.75,2.77,0.1,3.09,2.81,0.11,3.07,2.67,2.86,0.08,3.0,3.0
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,0.76,0.04,0.87,0.79,0.04,0.9,0.78,0.05,0.9,0.77,0.87,0.04,1.0,1.0
47,"Pre-Schooner II, ID, Site",PSC,ID,0.78,0.04,0.85,0.86,0.05,0.98,0.88,0.08,1.04,0.79,0.87,0.04,3.0,3.0
48,"Rifle New, CO, Processing Site",RFN,CO,1.3,0.06,1.44,1.43,0.08,1.65,1.43,0.1,1.71,1.3,1.44,0.07,3.0,3.0
49,"Rifle Old, CO, Processing Site",RFO,CO,1.3,0.06,1.44,1.43,0.08,1.65,1.43,0.1,1.71,1.3,1.44,0.07,3.0,3.0
50,"Rifle, CO, Disposal Site",RFL,CO,1.3,0.06,1.44,1.43,0.08,1.65,1.43,0.1,1.71,1.3,1.44,0.07,3.0,3.0
51,"Rio Blanco, CO, Site",RBL,CO,0.99,0.05,1.11,1.09,0.06,1.25,1.09,0.08,1.29,0.99,1.11,0.05,2.0,2.0
52,"Riverton, WY, Processing Site",RVT,WY,0.72,0.03,0.8,0.82,0.04,0.93,0.82,0.06,0.96,0.73,0.8,0.03,3.0,3.0
53,"Rocky Flats, CO, Site",RFS,CO,1.11,0.05,1.22,1.2,0.06,1.33,1.16,0.06,1.3,1.12,1.21,0.04,2.0,2.0
54,"Rulison, CO, Site",RUL,CO,1.31,0.06,1.45,1.43,0.08,1.66,1.43,0.1,1.72,1.31,1.45,0.07,2.0,2.0
55,"Salmon, MS, Site",SAL,MS,4.2,0.19,4.61,4.27,0.21,4.75,4.26,0.2,4.65,4.24,4.63,0.22,1.0,1.0
56,"Salt Lake City, UT, Disposal Site",SLD,UT,0.7,0.04,0.77,0.76,0.04,0.88,0.76,0.06,0.93,0.7,0.79,0.04,2.0,2.0
57,"Salt Lake City, UT, Processing Site",SLP,UT,1.44,0.08,1.6,1.59,0.09,1.84,1.59,0.12,1.95,1.45,1.59,0.07,2.0,3.0
58,"Sherwood, WA, Disposal Site",SHE,WA,0.97,0.04,1.06,1.06,0.05,1.18,1.07,0.07,1.23,0.98,1.07,0.04,3.0,3.0
59,"Shiprock, NM, Disposal Site",SHP,NM,0.62,0.03,0.69,0.66,0.05,0.76,0.64,0.04,0.78,0.61,0.7,0.04,2.0,1.0
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,0.84,0.04,0.9,0.92,0.05,1.04,0.92,0.06,1.11,0.85,0.92,0.04,3.0,3.0
61,"Shoal, NV, Site",SHL,NV,0.37,0.02,0.43,0.38,0.03,0.43,0.38,0.03,0.5,0.36,0.43,0.03,1.0,1.0
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,2.53,0.08,2.69,2.67,0.1,2.92,2.69,0.12,2.97,2.59,2.8,0.1,2.0,3.0
63,"Slick Rock East, CO, Processing Site",SRE,CO,0.88,0.04,0.99,0.94,0.07,1.12,0.94,0.07,1.11,0.88,0.98,0.05,2.0,2.0
64,"Slick Rock West, CO, Processing Site",SRW,CO,0.88,0.04,0.99,0.94,0.07,1.12,0.94,0.07,1.11,0.88,0.98,0.05,2.0,2.0
65,"Slick Rock, CO, Disposal Site",SRD,CO,0.88,0.04,0.99,0.94,0.07,1.12,0.94,0.07,1.11,0.88,0.98,0.05,2.0,2.0
66,"Spook, WY, Disposal Site",SPK,WY,0.92,0.04,1.05,1.01,0.05,1.15,1.0,0.07,1.18,0.93,1.05,0.05,2.0,2.0
67,"Tonopah Test Range, NV, Site",TTR,NV,0.35,0.02,0.39,0.37,0.03,0.45,0.37,0.04,0.51,0.35,0.43,0.03,1.0,2.0
68,"Tuba City, AZ, Disposal Site",TUB,AZ,0.65,0.04,0.75,0.68,0.05,0.8,0.66,0.05,0.79,0.65,0.76,0.05,1.0,1.0
69,"Utah, UT, Site",UTA,UT,0.58,0.03,0.65,0.63,0.04,0.72,0.63,0.05,0.76,0.57,0.63,0.03,2.0,2.0
70,"Weldon Spring, MO, Site",WEL,MO,2.6,0.09,2.81,2.69,0.1,3.02,2.67,0.11,2.94,2.61,2.81,0.09,2.0,1.0
