,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,1990_2019_median,shifting_rcp45,shifting_rcp85
14,"Falls City, TX, Disposal Site",FCT,TX,1.23,1.22,0.0,4.95,0.86,1.33,1.57,1.95,2.86,3.5,1.42,1.4,0.0,6.48,1.1,1.45,1.42,0.0,6.67,1.0,9.37,4.18,2.71,19.62,8.81,1,1
15,"Fernald Preserve, OH, Site",FER,OH,2.12,1.53,0.0,6.57,1.95,2.33,2.6,3.29,4.1,4.85,2.89,1.74,0.05,7.81,2.55,3.42,1.96,0.14,9.38,3.19,3.57,1.94,0.57,8.24,3.43,1,2
16,"Gasbuggy, NM, Site",GSB,NM,1.0,1.01,0.0,4.29,0.76,1.14,1.31,1.71,2.17,2.82,1.23,1.12,0.0,4.71,1.05,1.29,1.21,0.0,5.57,1.12,2.39,1.59,0.05,6.38,2.19,1,1
17,"George West, TX, Calibration Model",GWC,TX,1.23,1.27,0.0,5.57,0.95,1.19,1.67,2.1,2.83,3.56,1.4,1.39,0.0,6.24,0.95,1.47,1.48,0.0,6.95,1.12,14.34,5.47,4.76,27.19,14.0,0,1
18,"Gnome-Coach, NM, Site",GNO,NM,0.44,0.66,0.0,2.62,0.21,0.33,0.57,0.71,1.29,1.68,0.43,0.67,0.0,2.86,0.1,0.46,0.7,0.0,3.19,0.17,1.88,1.49,0.0,5.71,1.57,0,0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,1.07,1.08,0.0,4.38,0.86,1.05,1.33,1.95,2.48,3.01,1.34,1.22,0.0,5.76,0.98,1.45,1.24,0.0,5.38,1.14,0.48,0.67,0.0,2.29,0.24,1,1
20,"Grand Junction, CO, Calibration Model",GJC,CO,1.07,1.08,0.0,4.38,0.86,1.05,1.33,1.95,2.48,3.01,1.34,1.22,0.0,5.76,0.98,1.45,1.24,0.0,5.38,1.14,0.48,0.67,0.0,2.29,0.24,1,1
21,"Grand Junction, CO, Disposal Site",GRJ,CO,0.81,0.92,0.0,3.62,0.52,0.86,1.05,1.57,2.02,2.49,0.97,1.02,0.0,4.38,0.81,1.1,1.1,0.0,4.71,0.86,0.21,0.46,0.0,1.71,0.0,1,1
22,"Grand Junction, CO, Processing Site",GJT,CO,1.07,1.08,0.0,4.38,0.86,1.05,1.33,1.95,2.48,3.01,1.34,1.22,0.0,5.76,0.98,1.45,1.24,0.0,5.38,1.14,1.69,1.39,0.0,4.95,1.52,1,1
23,"Grand Junction, CO, Site",GJO,CO,1.07,1.08,0.0,4.38,0.86,1.05,1.33,1.95,2.48,3.01,1.34,1.22,0.0,5.76,0.98,1.45,1.24,0.0,5.38,1.14,1.03,1.05,0.0,3.76,0.71,1,1
24,"Grants, NM, Calibration Model",GNC,NM,1.06,1.05,0.0,4.24,0.88,1.1,1.5,1.76,2.43,2.89,1.31,1.23,0.0,5.43,1.05,1.27,1.17,0.0,5.14,0.93,1.26,1.15,0.0,4.19,1.0,1,1
25,"Green River, UT, Disposal Site",GRN,UT,0.64,0.81,0.0,3.14,0.33,0.62,0.79,1.29,1.69,2.18,0.81,0.94,0.0,4.19,0.62,0.82,0.93,0.0,3.86,0.5,0.13,0.34,0.0,1.29,0.0,1,1
26,"Gunnison, CO, Disposal Site",GUD,CO,0.72,0.84,0.0,3.33,0.57,0.67,1.02,1.29,1.81,2.17,0.94,1.0,0.0,4.38,0.67,1.05,1.11,0.0,4.81,0.76,5.62,2.57,1.19,11.57,5.29,1,1
27,"Gunnison, CO, Processing Site",GUP,CO,0.72,0.84,0.0,3.33,0.57,0.67,1.02,1.29,1.81,2.17,0.94,1.0,0.0,4.38,0.67,1.05,1.11,0.0,4.81,0.76,4.49,2.31,0.48,9.9,4.1,1,1
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,1.77,1.33,0.0,5.57,1.52,1.9,2.31,2.81,3.45,4.1,2.0,1.48,0.0,6.95,1.83,2.15,1.52,0.0,6.71,1.95,2.14,1.48,0.05,5.76,2.0,1,1
29,"L-Bar, NM, Disposal Site",BAR,NM,0.75,0.87,0.0,3.48,0.52,0.67,1.0,1.48,1.88,2.25,0.94,1.03,0.0,4.86,0.76,0.93,0.99,0.0,4.14,0.57,1.74,1.37,0.0,5.24,1.57,1,1
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,0.66,0.9,0.0,3.86,0.24,0.62,0.9,1.29,1.76,2.37,0.9,1.06,0.0,4.76,0.52,1.09,1.16,0.0,5.29,0.81,8.21,3.87,1.9,18.0,7.76,1,1
31,"Lakeview, OR, Disposal Site",LKD,OR,0.8,0.9,0.0,3.67,0.5,0.62,1.07,1.48,2.0,2.45,1.04,1.07,0.0,4.57,0.57,1.24,1.23,0.0,5.71,1.0,1.57,1.34,0.0,5.14,1.33,1,1
32,"Lakeview, OR, Processing Site",LKP,OR,0.96,1.01,0.0,4.1,0.6,0.71,1.45,1.62,2.26,2.76,1.29,1.24,0.0,5.57,0.98,1.47,1.36,0.0,6.19,1.17,1.48,1.33,0.0,4.95,1.19,1,1
33,"Lowman, ID, Disposal Site",LOW,ID,1.53,1.38,0.0,6.0,1.26,1.67,1.93,2.48,3.31,3.99,2.19,1.63,0.0,7.62,1.83,2.51,1.83,0.0,8.81,2.19,0.22,0.45,0.0,1.71,0.0,1,2
34,"Maxey Flats, KY, Disposal Site",MAX,KY,1.71,1.3,0.0,5.29,1.55,1.81,2.24,2.9,3.38,3.93,2.36,1.57,0.0,7.1,2.12,2.82,1.8,0.05,8.52,2.52,4.61,2.22,0.71,9.86,4.48,1,2
35,"Maybell West, CO, Disposal Site",MAW,CO,1.32,1.16,0.0,4.86,1.14,1.48,1.76,2.05,2.81,3.42,1.77,1.44,0.0,6.81,1.45,1.95,1.49,0.0,6.52,1.69,0.1,0.28,0.0,1.0,0.0,1,1
36,"Maybell, CO, Disposal Site",MAY,CO,1.2,1.12,0.0,4.43,0.93,1.33,1.57,2.05,2.76,3.24,1.62,1.38,0.0,6.48,1.48,1.81,1.42,0.0,6.24,1.6,1.61,1.27,0.0,4.67,1.38,1,2
37,"Mexican Hat, UT, Disposal Site",HAT,UT,0.78,0.91,0.0,3.76,0.48,0.76,1.14,1.43,1.95,2.4,1.02,1.09,0.0,4.67,0.69,1.07,1.09,0.0,4.86,0.76,0.5,0.73,0.0,2.57,0.14,1,1
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,0.94,1.03,0.0,4.29,0.57,0.95,1.29,1.71,2.33,2.79,1.26,1.19,0.0,5.1,1.02,1.33,1.21,0.0,5.33,1.19,1.11,1.08,0.0,3.86,0.9,1,1
39,"Monument Valley, AZ, Processing Site",MON,AZ,0.87,0.97,0.0,3.86,0.64,0.71,1.14,1.57,2.02,2.74,1.09,1.11,0.0,4.9,0.79,1.1,1.1,0.0,5.0,0.81,0.64,0.79,0.0,2.9,0.38,1,1
40,"Mound, OH, Site",MND,OH,2.25,1.56,0.0,6.76,2.05,2.38,2.79,3.52,4.38,4.98,3.06,1.83,0.05,8.38,2.86,3.56,1.98,0.14,9.05,3.4,8.68,3.21,2.71,16.57,8.43,2,2
41,"Naturita, CO, Disposal Site",NAD,CO,0.78,0.9,0.0,3.67,0.48,0.76,1.0,1.52,2.0,2.3,1.01,1.07,0.0,4.76,0.71,1.11,1.1,0.0,4.81,0.86,1.07,1.08,0.0,3.9,0.81,1,1
42,"Naturita, CO, Processing Site",NAP,CO,0.82,0.91,0.0,3.76,0.52,0.81,1.21,1.43,1.98,2.44,1.01,1.06,0.0,4.71,0.71,1.14,1.13,0.0,4.67,0.81,3.81,2.18,0.43,9.0,3.57,1,1
43,"Parkersburg, WV, Disposal Site",PKB,WV,2.25,1.53,0.0,6.43,2.12,2.38,2.86,3.33,4.36,4.95,3.03,1.79,0.1,8.57,2.79,3.7,2.0,0.29,9.52,3.48,0.38,0.6,0.0,2.05,0.05,1,2
44,"Pinellas County, FL, Site",PIN,FL,2.22,1.7,0.0,7.48,1.88,2.33,2.79,3.43,4.4,5.3,2.71,1.92,0.1,8.33,2.43,3.16,2.04,0.14,9.81,2.81,5.75,3.12,0.86,14.0,5.38,1,2
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,1.92,1.42,0.05,5.86,1.79,2.1,2.52,3.0,3.81,4.48,2.56,1.62,0.0,7.48,2.31,2.98,1.8,0.1,8.52,2.74,13.72,3.93,6.19,22.95,13.57,1,2
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,0.69,0.83,0.0,3.43,0.36,0.52,0.9,1.24,1.81,2.06,0.74,0.86,0.0,3.86,0.43,0.74,0.87,0.0,3.86,0.48,2.39,1.64,0.0,6.86,2.24,1,1
47,"Pre-Schooner II, ID, Site",PSC,ID,0.72,0.84,0.0,3.38,0.43,0.71,0.98,1.43,1.81,2.17,1.09,1.06,0.0,4.48,0.86,1.29,1.28,0.0,5.95,0.98,2.03,1.54,0.0,6.14,1.95,1,1
48,"Rifle New, CO, Processing Site",RFN,CO,1.25,1.18,0.0,4.95,0.95,1.38,1.57,2.14,2.74,3.39,1.69,1.37,0.0,6.14,1.55,1.86,1.44,0.0,6.43,1.55,3.57,2.11,0.29,8.95,3.19,1,1
49,"Rifle Old, CO, Processing Site",RFO,CO,1.25,1.18,0.0,4.95,0.95,1.38,1.57,2.14,2.74,3.39,1.69,1.37,0.0,6.14,1.55,1.86,1.44,0.0,6.43,1.55,4.22,2.32,0.48,10.14,3.86,1,1
50,"Rifle, CO, Disposal Site",RFL,CO,1.25,1.18,0.0,4.95,0.95,1.38,1.57,2.14,2.74,3.39,1.69,1.37,0.0,6.14,1.55,1.86,1.44,0.0,6.43,1.55,0.93,0.99,0.0,3.86,0.71,1,1
51,"Rio Blanco, CO, Site",RBL,CO,1.52,1.31,0.0,5.48,1.31,1.52,2.0,2.43,3.17,3.86,1.98,1.48,0.0,7.1,1.67,2.15,1.53,0.0,7.0,1.88,1.62,1.28,0.0,4.71,1.48,1,1
52,"Riverton, WY, Processing Site",RVT,WY,1.35,1.18,0.0,5.0,1.1,1.38,1.71,2.19,2.86,3.44,1.73,1.37,0.0,6.1,1.45,1.83,1.47,0.0,6.86,1.52,0.52,0.7,0.0,2.48,0.14,1,1
53,"Rocky Flats, CO, Site",RFS,CO,1.09,1.02,0.0,4.24,0.79,1.29,1.52,1.76,2.4,2.81,1.35,1.2,0.0,5.43,1.19,1.33,1.19,0.0,5.14,1.12,1.52,1.24,0.05,4.81,1.43,1,1
54,"Rulison, CO, Site",RUL,CO,1.19,1.14,0.0,4.81,0.83,1.24,1.6,2.1,2.69,3.23,1.59,1.36,0.0,6.19,1.43,1.74,1.4,0.0,6.29,1.52,2.14,1.58,0.0,6.24,1.9,1,1
55,"Salmon, MS, Site",SAL,MS,1.53,1.3,0.0,5.29,1.29,1.71,2.17,2.48,3.21,3.85,1.93,1.45,0.0,6.57,1.69,2.17,1.55,0.0,7.24,1.83,18.88,5.52,8.62,31.1,18.29,1,1
56,"Salt Lake City, UT, Disposal Site",SLD,UT,1.2,1.15,0.0,4.67,1.05,1.29,1.57,2.0,2.71,3.21,1.64,1.32,0.0,6.05,1.4,1.79,1.46,0.0,7.1,1.43,0.1,0.28,0.0,1.05,0.0,1,1
57,"Salt Lake City, UT, Processing Site",SLP,UT,1.36,1.24,0.0,5.14,1.14,1.43,1.76,2.24,3.1,3.55,1.94,1.53,0.0,6.9,1.71,2.2,1.67,0.0,7.67,1.86,0.66,0.82,0.0,3.0,0.43,1,2
58,"Sherwood, WA, Disposal Site",SHE,WA,1.27,1.17,0.0,5.0,1.0,1.38,1.69,2.1,2.64,3.36,1.81,1.41,0.0,6.19,1.62,2.13,1.61,0.0,7.43,1.9,0.22,0.44,0.0,1.48,0.0,1,2
59,"Shiprock, NM, Disposal Site",SHP,NM,0.84,0.93,0.0,3.76,0.52,0.95,1.14,1.43,1.98,2.63,1.06,1.07,0.0,4.62,0.83,1.1,1.08,0.0,4.81,0.81,0.14,0.34,0.0,1.14,0.0,1,1
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,0.62,0.77,0.0,3.19,0.48,0.52,0.71,1.14,1.71,1.83,0.72,0.84,0.0,3.9,0.6,0.77,0.9,0.0,3.9,0.62,0.02,0.09,0.0,0.43,0.0,1,1
61,"Shoal, NV, Site",SHL,NV,0.43,0.62,0.0,2.24,0.07,0.29,0.67,0.81,1.26,1.57,0.5,0.73,0.0,3.24,0.19,0.56,0.78,0.0,3.52,0.33,0.15,0.36,0.0,1.29,0.0,1,1
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,1.49,1.17,0.0,4.52,1.21,1.57,2.07,2.38,3.02,3.58,1.87,1.37,0.05,5.86,1.67,2.18,1.49,0.1,6.71,1.88,5.92,2.45,1.29,11.43,5.62,1,1
63,"Slick Rock East, CO, Processing Site",SRE,CO,0.83,0.92,0.0,3.76,0.62,0.76,1.19,1.57,2.05,2.44,1.04,1.08,0.0,4.9,0.71,1.12,1.1,0.0,4.62,0.83,0.06,0.22,0.0,0.95,0.0,1,1
64,"Slick Rock West, CO, Processing Site",SRW,CO,0.83,0.92,0.0,3.76,0.62,0.76,1.19,1.57,2.05,2.44,1.04,1.08,0.0,4.9,0.71,1.12,1.1,0.0,4.62,0.83,0.37,0.63,0.0,2.24,0.0,1,1
65,"Slick Rock, CO, Disposal Site",SRD,CO,0.83,0.92,0.0,3.76,0.62,0.76,1.19,1.57,2.05,2.44,1.04,1.08,0.0,4.9,0.71,1.12,1.1,0.0,4.62,0.83,0.54,0.76,0.0,2.71,0.14,1,1
66,"Spook, WY, Disposal Site",SPK,WY,1.02,1.03,0.0,4.1,0.64,1.0,1.43,1.67,2.38,3.13,1.19,1.16,0.0,5.29,0.9,1.28,1.19,0.0,5.38,1.07,0.29,0.5,0.0,1.57,0.0,1,1
67,"Tonopah Test Range, NV, Site",TTR,NV,0.65,0.83,0.0,3.29,0.4,0.67,0.95,1.19,1.62,2.15,0.86,1.01,0.0,4.33,0.57,0.97,1.09,0.0,4.71,0.71,0.26,0.44,0.0,1.57,0.05,1,1
68,"Tuba City, AZ, Disposal Site",TUB,AZ,0.78,0.92,0.0,3.62,0.55,0.81,1.12,1.43,1.98,2.56,1.0,1.09,0.0,4.67,0.74,1.04,1.08,0.0,4.86,0.71,0.31,0.56,0.0,1.95,0.0,1,1
69,"Utah, UT, Site",UTA,UT,1.01,1.01,0.0,3.95,0.76,1.0,1.55,1.67,2.33,2.76,1.29,1.2,0.0,5.43,1.02,1.43,1.27,0.0,5.52,1.19,0.04,0.15,0.0,0.71,0.0,1,1
70,"Weldon Spring, MO, Site",WEL,MO,1.44,1.21,0.0,4.9,1.24,1.67,1.93,2.38,2.86,3.67,1.75,1.37,0.0,6.38,1.62,1.97,1.45,0.0,6.71,1.76,3.03,1.75,0.14,7.24,2.71,1,1
