,NameMnemonic,Latitude,Longitude,hist_12mo_avg,RCP85_mid_12mo_avg,RCP85_late_12mo_avg,RCP85_MidLate_12mo_avg,RCP45_mid_12mo_avg,RCP45_late_12mo_avg,RCP45_MidLate_12mo_avg,EU_class_hist,EU_class_RCP85_Mid,EU_class_RCP85_Late,EU_class_RCP85MidLate,EU_class_RCP45_Mid,EU_class_RCP45_Late,EU_class_RCP45MidLate
32,NAP,38.239805,-108.611094,14.38920089,15.44138738,17.4696663,16.45552684,14.19045575,17.31122607,15.75084091,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
33,PIN,27.874948,-82.749012,6.380069157,6.855071559,7.425125911,7.140098735,6.92615654,11.29751101,9.111833777,Low,Low,Low,Low,Low,Moderate,Low
34,PIQ,40.1319,-84.23462,6.251535697,5.553691227,7.653639949,6.603665588,6.827617293,9.07664764,7.952132466,Low,Low,Low,Low,Low,Low,Low
35,PKB,39.250115,-81.685817,4.078046491,3.645504292,5.119755663,4.382629978,4.972138254,6.05609553,5.514116892,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,Low,Low
36,RBL,39.793245,-108.367198,12.75688487,13.33598701,16.00130401,14.66864551,12.81658785,15.91486707,14.36572746,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
37,RFL,39.614434,-107.801258,9.545040803,10.11598658,12.08794934,11.10196796,9.448804981,12.45499018,10.95189758,Low,Low,Moderate,Low,Low,Moderate,Low
38,RFN,39.524991,-107.814042,11.90588281,12.38412883,14.5565295,13.47032916,11.73936145,14.77150145,13.25543145,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
39,RFO,39.529479,-107.771654,11.6092656,12.05867122,14.25486353,13.15676738,11.43876798,14.42801103,12.9333895,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
40,RFS,39.889868,-105.209222,15.02310688,14.87763703,19.13139904,17.00451804,14.54173716,22.36212333,18.45193025,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate
41,RUL,39.405292,-107.948499,11.1444897,11.85147758,14.06969984,12.96058871,10.95884242,13.62843668,12.29363955,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate
42,RVT,42.997679,-108.410329,17.38885748,16.61570142,19.61548513,18.11559327,16.42562635,21.8529475,19.13928693,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate
43,SAL,31.142285,-89.570012,5.61314736,6.151657733,7.562953727,6.85730573,7.430163124,9.217674633,8.323918879,Low,Low,Low,Low,Low,Low,Low
44,SAM,41.705321,-87.910908,10.00481592,7.976414549,10.65260955,9.314512051,9.85285598,13.14226635,11.49756117,Low,Low,Low,Low,Low,Moderate,Moderate
45,SBS,42.335323,-106.196273,13.85403344,13.20839251,16.14458322,14.67648786,13.0863946,19.04405204,16.06522332,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
46,SHE,47.876183,-118.106188,12.19853044,11.78524685,12.57035759,12.17780222,12.1081612,12.2404282,12.1742947,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
47,SHL,39.200093,-118.381229,19.51721636,19.58981579,21.60177936,20.59579757,18.45977298,20.90675748,19.68326523,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate
48,SHP,36.770014,-108.684297,19.71130352,21.06066183,23.61291272,22.33678728,19.24180815,22.24593704,20.7438726,Moderate,Moderate,High,High,Moderate,High,Moderate
49,SLD,40.690666,-113.111437,21.8945148,21.83445533,24.56259245,23.19852389,21.65161044,23.84904151,22.75032597,High,High,High,High,High,High,High
50,SLP,40.702191,-111.911462,17.66785867,18.40595016,20.99857351,19.70226183,18.14913246,20.80420775,19.4766701,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
51,SPK,43.238852,-105.622524,18.93025733,18.06060924,21.76592626,19.91326775,18.41772169,27.52345823,22.97058996,Moderate,Moderate,High,Moderate,Moderate,High,High
52,SRD,38.054538,-108.864253,16.71237506,17.87080865,20.4611471,19.16597788,16.40612297,20.04540387,18.22576342,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
