,NameMnemonic,1995_12mo_avg,1996_12mo_avg,1997_12mo_avg,1998_12mo_avg,1999_12mo_avg,2000_12mo_avg,2001_12mo_avg,2002_12mo_avg,2003_12mo_avg,2004_12mo_avg,2045_12mo_avg,2046_12mo_avg,2047_12mo_avg,2048_12mo_avg,2049_12mo_avg,2050_12mo_avg,2051_12mo_avg,2052_12mo_avg,2053_12mo_avg,2054_12mo_avg,2085_12mo_avg,2086_12mo_avg,2087_12mo_avg,2088_12mo_avg,2089_12mo_avg,2090_12mo_avg,2091_12mo_avg,2092_12mo_avg,2093_12mo_avg,2094_12mo_avg
92,MAX,3.791164056,3.73295289,3.454168681,3.626191166,5.203239756,4.402421013,5.153160941,5.12358855,4.118555923,3.119129006,5.562979937,5.171059369,3.547323877,4.601364562,4.959062038,5.110882837,6.111384484,5.307889299,3.90711729,6.444678209,4.808157341,6.036937108,5.41490458,4.837814191,6.097254233,6.837554281,5.251092631,7.19883637,4.841724134,13.41653681
93,GJC,17.46246439,13.98098522,13.65307335,14.24572495,16.84950018,17.09622705,18.27301777,16.79825066,15.74644487,18.73260793,16.27817393,19.47397364,17.04822135,14.48399142,16.2654379,15.30256167,18.99402399,14.14460023,14.39651367,15.29649618,18.39603018,18.730868,17.16123538,17.50602831,17.80553237,18.41699522,19.67769266,19.88318142,19.66999877,24.15433481
94,GAC,17.84597604,14.52202416,13.79577113,14.80079276,17.1915018,17.48771879,18.42993213,17.39882327,16.07284802,19.08537969,16.70091968,19.79925728,17.5319152,15.08265605,16.6621578,15.75007356,19.49668948,14.75566659,14.78087652,15.83298681,18.67258711,19.11941537,17.12652111,17.35383508,18.01493905,18.77933888,20.11162599,20.20803377,20.04715543,24.39696653
95,GNC,17.12353022,16.15786182,16.59419135,16.61231322,16.69055658,16.78871786,20.97196537,19.26134006,16.02859663,16.85543337,17.24931835,18.19460574,15.54717711,15.35400684,18.52598139,17.62239824,16.60765471,12.82999288,16.94465251,14.30332649,19.54866156,19.3883278,20.45936984,20.30104904,20.03107736,21.27825498,21.491846,23.79827859,23.27028751,23.56744852
96,GWC,14.00740567,14.14882953,15.95239023,14.80315543,10.35228318,14.48528421,12.23708034,13.63750161,16.88327482,13.15223795,17.44651768,16.17397508,16.46845976,13.06697336,14.83498179,18.20812771,14.34728508,14.26626993,19.26684098,15.02879552,18.72397269,18.15889703,22.69636547,19.25836397,22.90941185,22.22875948,19.99633768,22.58829693,22.98917323,15.35246921
97,CSC,18.21703961,19.81182845,18.29983654,13.43315155,19.68894933,21.84958369,20.93754271,20.30490725,18.03133179,20.53514064,16.89669335,20.36422397,20.83970057,16.63609544,17.44132701,17.47852175,22.54883451,18.54566498,16.97067511,17.85913634,22.53982872,27.63907804,25.6294012,24.75971236,26.98297204,27.07191161,24.37102734,28.82978882,26.36492769,31.36091753
98,CLN,4.700563209,5.060363361,4.70552088,4.926214213,5.245675918,5.066106333,4.852347984,5.054297132,4.459974796,4.215369534,5.986740408,6.564467793,4.808695445,5.015497411,5.317075637,5.894036209,6.629197976,7.038253995,5.312273309,6.180474348,4.968521597,5.99538091,5.334965044,6.536275556,5.652507438,5.004300844,4.782516555,5.897786227,5.013023223,14.76894305
99,BRO,16.31531222,13.58180817,12.53708673,12.97135082,15.19594222,16.01049932,17.77097526,14.92512763,14.46353851,17.34645203,14.13781865,18.37900049,16.94641693,12.92216123,15.48997853,13.63369715,19.55846748,14.02295961,13.64914393,13.02490544,16.92098047,18.42492349,16.45007911,17.32306384,16.39690305,18.05414166,19.80804233,19.80916639,18.21410934,20.88530545
100,PSC,15.786653,15.32607472,14.94381219,14.28741162,18.52878879,17.69582262,14.2157361,16.08218466,17.32927463,23.42149291,14.9197403,17.22617841,15.14667849,15.52583315,15.76851024,16.67275855,17.36111628,16.07809531,15.15821148,19.94464099,18.61930683,17.25932243,17.58953558,16.87744083,18.60740186,18.19078937,17.58391291,17.41361366,16.7359718,23.81711368
101,PGD,15.82103469,15.36103473,18.06626252,15.45208495,17.38026426,16.56137126,16.81042533,19.64610235,21.11814158,22.78394795,20.01739299,19.00340215,18.57643066,18.52401025,16.42685528,15.43929485,17.09617251,18.18070971,16.75100428,22.32276511,18.03541938,18.90044083,21.08902569,20.64404701,22.2433015,25.032306,23.06375679,25.06263728,24.74278588,29.41866018
102,UTA,20.79678657,19.21187204,16.27333154,17.33612706,19.4659112,20.81148343,21.97631891,20.18388831,19.73702185,21.96904915,19.17036494,22.6336209,21.38738884,17.20772113,18.82199123,17.8155934,24.52480348,17.53706895,17.67991204,17.44614741,22.08468842,20.76453948,20.61854075,19.6389661,20.2790621,21.79430661,23.05932829,22.35082034,20.22544143,24.51411985
103,TTR,22.36211862,20.46452251,19.64542466,17.62059609,25.34062446,21.91687557,25.62743668,25.43120453,24.51453699,27.21948409,21.61724715,23.81026364,22.84267144,17.73337504,21.44262709,24.82133812,24.80284957,21.28641535,19.76511815,24.07719548,22.9349158,23.91899807,24.47441493,22.12150736,23.38823144,22.77683695,24.41821619,22.90966167,23.52171386,29.5801972
